amp;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;32;32;1;l;11.3800;12.7500
;16;32;2;l;11.4300;10.0000
;8;32;4;l;12.5100;8.8800
;4;32;8;l;13.3400;9.0000
;2;32;16;l;13.6400;9.0000
;1;32;32;l;14.1100;8.9500
;32;32;1;r;11.3800;12.7500
;16;32;2;r;11.1100;10.9800
;8;32;4;r;11.0400;10.2600
;4;32;8;r;11.1200;10.1300
;2;32;16;r;11.0900;10.1700
;1;32;32;r;11.1200;10.1700
;32;32;1;f;11.3800;12.7500
;16;32;2;f;11.5100;10.4100
;8;32;4;f;12.5200;9.5300
;4;32;8;f;13.2500;9.7000
;2;32;16;f;13.7200;9.9000
;1;32;32;f;13.9300;9.8800
basicmath;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;32;32;1;l;23.8700;7.6800
;16;32;2;l;24.2500;5.3200
;8;32;4;l;24.6300;3.3500
;4;32;8;l;23.8300;3.3100
;2;32;16;l;23.1900;3.3500
;1;32;32;l;23.1100;3.3900
;32;32;1;r;23.8700;7.6800
;16;32;2;r;23.3300;5.8900
;8;32;4;r;22.9700;4.3700
;4;32;8;r;22.6600;4.2300
;2;32;16;r;22.5800;4.3300
;1;32;32;r;22.6300;4.3600
;32;32;1;f;23.8700;7.6800
;16;32;2;f;24.2500;5.3400
;8;32;4;f;24.6600;3.6900
;4;32;8;f;23.9700;3.8000
;2;32;16;f;23.2200;3.7600
;1;32;32;f;23.1900;3.7600
