amp;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;128;8;1;l;41.9000;26.9800
;64;16;1;l;21.5600;16.8800
;32;32;1;l;11.3800;12.7500
;16;64;1;l;6.3700;13.1800
;8;128;1;l;3.7600;16.6400
;4;256;1;l;2.3100;26.7200
;2;512;1;l;2.0000;43.0000
;1;1024;1;l;2.8900;63.7600
basicmath;N_Conj;Tam_Bloco;Assoc;Politica;Icache(%);Dcache(%)
;128;8;1;l;74.0600;7.6400
;64;16;1;l;41.3700;7.2300
;32;32;1;l;23.8700;7.6800
;16;64;1;l;15.1600;9.0200
;8;128;1;l;9.9900;12.3300
;4;256;1;l;6.9000;15.3300
;2;512;1;l;5.5400;21.0400
;1;1024;1;l;4.8900;27.3700
