amp,,,
^,64,16,1,l
^,128,16,1,l
^,256,16,1,l
^,512,16,1,l
^,1024,16,1,l
^,2048,16,1,l
^,32,32,1,l
^,64,32,1,l
^,128,32,1,l
^,256,32,1,l
^,512,32,1,l
^,1024,32,1,l
^,32,16,2,l
^,64,16,2,l
^,128,16,2,l
^,256,16,2,l
^,512,16,2,l
^,1024,16,2,l
^,16,32,2,l
^,32,32,2,l
^,64,32,2,l
^,128,32,2,l
^,256,32,2,l
^,512,32,2,l
^,16,16,4,l
^,32,16,4,l
^,64,16,4,l
^,128,16,4,l
^,256,16,4,l
^,512,16,4,l
^,8,32,4,l
^,16,32,4,l
^,32,32,4,l
^,64,32,4,l
^,128,32,4,l
^,256,32,4,l
basicmath,,,
^,64,16,1,l
^,128,16,1,l
^,256,16,1,l
^,512,16,1,l
^,1024,16,1,l
^,2048,16,1,l
^,32,32,1,l
^,64,32,1,l
^,128,32,1,l
^,256,32,1,l
^,512,32,1,l
^,1024,32,1,l
^,32,16,2,l
^,64,16,2,l
^,128,16,2,l
^,256,16,2,l
^,512,16,2,l
^,1024,16,2,l
^,16,32,2,l
^,32,32,2,l
^,64,32,2,l
^,128,32,2,l
^,256,32,2,l
^,512,32,2,l
^,16,16,4,l
^,32,16,4,l
^,64,16,4,l
^,128,16,4,l
^,256,16,4,l
^,512,16,4,l
^,8,32,4,l
^,16,32,4,l
^,32,32,4,l
^,64,32,4,l
^,128,32,4,l
^,256,32,4,l
