"amp";"N_Conj";"Tam_Bloco";"Assoc";"Politica";"Icache(%)";"Dcache(%)"
;32;32;1;"l";11.38;12.75
;16;32;2;"l";11.43;10
;8;32;4;"l";12.51;8.88
;4;32;8;"l";13.34;9
;2;32;16;"l";13.64;9
;1;32;32;"l";14.11;8.95
;32;32;1;"r";11.38;12.75
;16;32;2;"r";11.11;10.98
;8;32;4;"r";11.04;10.26
;4;32;8;"r";11.12;10.13
;2;32;16;"r";11.09;10.17
;1;32;32;"r";11.12;10.17
;32;32;1;"f";11.38;12.75
;16;32;2;"f";11.51;10.41
;8;32;4;"f";12.52;9.53
;4;32;8;"f";13.25;9.7
;2;32;16;"f";13.72;9.9
;1;32;32;"f";13.93;9.88
"basicmath";"N_Conj";"Tam_Bloco";"Assoc";"Politica";"Icache(%)";"Dcache(%)"
;32;32;1;"l";23.87;7.68
;16;32;2;"l";24.25;5.32
;8;32;4;"l";24.63;3.35
;4;32;8;"l";23.83;3.31
;2;32;16;"l";23.19;3.35
;1;32;32;"l";23.11;3.39
;32;32;1;"r";23.87;7.68
;16;32;2;"r";23.33;5.89
;8;32;4;"r";22.97;4.37
;4;32;8;"r";22.66;4.23
;2;32;16;"r";22.58;4.33
;1;32;32;"r";22.63;4.36
;32;32;1;"f";23.87;7.68
;16;32;2;"f";24.25;5.34
;8;32;4;"f";24.66;3.69
;4;32;8;"f";23.97;3.8
;2;32;16;"f";23.22;3.76
;1;32;32;"f";23.19;3.76
